CODIGO,HIJO,NOMBRE,DESCRPCIÓN CORTA,DESCRIPCIÓN LARGA,TAMAÑO,SUBCATEGORÍA,MARCA/FABRICANTE,PRECIO,DESCUENTO %,IMAGEN,ATRIBUTO 1 (ej: color),ATRIBUTO 2 (ej: talla),DESTACADO
colchon003-QUEEN,colchon003,VELVET QUEEN,,"Grosor 30 cm, 696 resortes independientes embolsados, soporte suave",QUEEN,Colchones,WENDY,5190,,VELVET,,,
colchon003-KS,colchon003,VELVET KING SIZE,,"Grosor 30 cm, 928 resortes independientes embolsados, soporte suave",KING SIZE,Colchones,WENDY,6590,,VELVET,,,
colchon004,,MAIDEN PERFECT SUPPORT,"Colchon con refuerzo perimetral foam encased, unidad de resortes exclusiva perfect support que le da extra soporte a la zona lumbar, soporte semifirme-firme",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,SERTA,,,MAIDEN,,,
colchon004-IND,colchon004,MAIDEN INDIVIDUAL,,"Grosor 33 cms, 312  resortes de la exclusiva perfect support, colchoneta fill",INDIVIDUAL,Colchones,SERTA,4199,,MAIDEN,,,SI
colchon004-MAT,colchon004,MAIDEN MATRIMONIAL,,"Grosor 33 cms, 442  resortes de la exclusiva perfect support, colchoneta fill",MATRIMONIAL,Colchones,SERTA,5396,,MAIDEN,,,
colchon004-QUEEN,colchon004,MAIDEN QUEEN,,"Grosor 33 cms, 494  resortes de la exclusiva perfect support, colchoneta fill",QUEEN,Colchones,SERTA,6199,,MAIDEN,,,
colchon004-KS,colchon004,MAIDEN KING SIZE,,"Grosor 33 cms, 650  resortes de la exclusiva perfect support, colchoneta fill",KING SIZE,Colchones,SERTA,7999,,MAIDEN,,,
colchon005,,PAGE HEAVEN COMFORT,"Colchon Memory-Gel, resortes independientes embolsados, tela strech en algodón hipo alergenica anti acaros, refuerzo perimetral, tecnologia heaven comfort",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,SERTA,,,PAGE,,,
colchon005-IND,colchon005,PAGE INDIVIDUAL,,"Grosor 38  cm, 464 resortes independientes, foam encased, memory-gel, soporte suave",INDIVIDUAL,Colchones,SERTA,6349,,PAGE,,,SI
colchon005-MAT,colchon005,PAGE MATRIMONIAL,,"Grosor 38  cm, 638 resortes independientes, foam encased, memory-gel, soporte suave",MATRIMONIAL,Colchones,SERTA,7999,,PAGE,,,
colchon005-QS,colchon005,PAGE QUEEN,,"Grosor 38  cm, 696 resortes independientes, foam encased, memory-gel, soporte suave",QUEEN,Colchones,SERTA,9390,,PAGE,,,
colchon005-KS,colchon005,PAGE KING SIZE,,"Grosor 38  cm, 928 resortes independientes, foam encased, memory-gel, soporte suave",KING SIZE,Colchones,SERTA,11990,,PAGE,,,
colchon006,,WENDY CASTILLA ,"Colchon de resortes de hilo continuo en forma de ""Z"", colchoneta americana, telas en algodón hipo alergenica anti acaros",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,WENDY,,,CASTILLA,,,
colchon006-IND,colchon006,CASTILLA INDIVIDUAL,,"Grosor 28 cms, 312 resortes de hilo continuo, telas en algodón hipo alergenica anti acaros, soporte semifirme",INDIVIDUAL,Colchones,WENDY,2299,,CASTILLA,,,SI
colchon006-MAT,colchon006,CASTILLA MATRIMONIAL,,"Grosor 28 cms, 442 resortes de hilo continuo, telas en algodón hipo alergenica anti acaros, soporte semifirme",MATRIMONIAL,Colchones,WENDY,2760,,CASTILLA,,,
colchon006-QS,colchon006,CASTILLA QUEEN,,"Grosor 28 cms, 494 resortes de hilo continuo, telas en algodón hipo alergenica anti acaros, soporte semifirme",QUEEN,Colchones,WENDY,3235,,CASTILLA,,,
colchon006-KS,colchon006,CASTILLA KING SIZE,,"Grosor 28 cms, 650 resortes de hilo continuo, telas en algodón hipo alergenica anti acaros, soporte semifirme",KING SIZE,Colchones,WENDY,4143,,CASTILLA,,,
colchon007,,CAMELOT BACK SUPPORTER,"Colchon con soporte extra en la zona lumbar, certificación del colegio de quiropracticos de México, confort firme, telas en algodón hipo alergenica anti acaros",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,SPRING AIR,,,CAMELOT,,,
colchon007-IND,colchon007,CAMELOT INDIVIDUAL,,"Grosor 26 cms,  345 resortes back supporter, soporte extra firme, colchoneta fill",INDIVIDUAL,Colchones,SPRING AIR,3499,,CAMELOT,,,SI
colchon007-MAT,colchon007,CAMELOT MATRIMONIAL,,"Grosor 26 cms,  483 resortes back supporter, soporte extra firme, colchoneta fill",MATRIMONIAL,Colchones,SPRING AIR,4599,,CAMELOT,,,
colchon007-QUEEN,colchon007,CAMELOT QUEEN,,"Grosor 26 cms,  529 resortes back supporter, soporte extra firme, colchoneta fill",QUEEN,Colchones,SPRING AIR,5097,,CAMELOT,,,
colchon007-KS,colchon007,CAMELOT KING SIZE,,"Grosor 26 cms,  713 resortes back supporter, soporte extra firme, colchoneta fill",KING SIZE,Colchones,SPRING AIR,6787,,CAMELOT,,,
colchon008,,LOMBARDI BACK SUPPORTER,"Colchon con soporte extra en la zona lumbar, certificación del colegio de quiropracticos de México, colchoneta americana reforzada, confort firme, telas en algodón hipo alergenica anti acaros",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,SPRING AIR,,,LOMBARDI,,,
colchon008-IND,colchon008,LOMBARDI INDIVIDUAL,,"Grosor 32 cms,  345 resortes back supporter, soporte extra firme, colchoneta americana super reforzada",INDIVIDUAL,Colchones,SPRING AIR,"4,099",,LOMBARDI,,,SI
colchon008-MAT,colchon008,LOMBARDI MATRIMONIAL,,"Grosor 32 cms,  483 resortes back supporter, soporte extra firme, colchoneta americana super reforzada",MATRIMONIAL,Colchones,SPRING AIR,5543,,LOMBARDI,,,
colchon008-QS,colchon008,LOMBARDI QUEEN,,"Grosor 32 cms,  529 resortes back supporter, soporte extra firme, colchoneta americana super reforzada",QUEEN,Colchones,SPRING AIR,6221,,LOMBARDI,,,
colchon008-KS,colchon008,LOMBARDI KING SIZE,,"Grosor 32 cms,  713 resortes back supporter, soporte extra firme, colchoneta americana super reforzada",KING SIZE,Colchones,SPRING AIR,8199,,LOMBARDI,,,
colchon009,,COLUMBIA ORTOFOAM,"Colchon sin resortes, nucleo de softcel y firmcel, soporte firme, colchoneta euro pillow top, telas anti acaros, refuerzo perimetral",,MATRIMONIAL|QUEEN|KING SIZE,Colchones,SPRING AIR,,,COLUMBIA,,,
colchon009-MAT,colchon009,COLUMBIA MATRIMONIAL ,,"Grosor 36cm, nucleo de softcel y firmcel, soporte firme, no transmite movimientos de pareja",MATRIMONIAL,Colchones,SPRING AIR,7599,,COLUMBIA,,,SI
colchon009-QS,colchon009,COLUMBIA QUEEN,,"Grosor 36cm, nucleo de softcel y firmcel, soporte firme, no transmite movimientos de pareja",QUEEN,Colchones,SPRING AIR,8877,,COLUMBIA,,,
colchon009-KS,colchon009,COLUMBIA KING SIZE,,"Grosor 36cm, nucleo de softcel y firmcel, soporte firme, no transmite movimientos de pareja",KING SIZE,Colchones,SPRING AIR,11219,,COLUMBIA,,,
